LFM_PROFILE | cache_r_l1 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l1 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.conv.conv-0 | SSM_CONV | 5
LFM_PROFILE | model.layers.{}.conv.in_proj-0 (view) | MUL | 8
LFM_PROFILE | model.layers.{}.conv.out_proj-0 | MUL_MAT | 2488
LFM_PROFILE | model.embed_tokens | ADD | 9
LFM_PROFILE | norm-0 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-0 | MUL | 6
LFM_PROFILE | ffn_gate-0 | MUL_MAT | 9868
LFM_PROFILE | ffn_up-0 | MUL_MAT | 9908
LFM_PROFILE | ffn_swiglu-0 | GLU | 172
LFM_PROFILE | blk.0.ffn_down.weight | MUL_MAT | 13157
LFM_PROFILE | node_36 | ADD | 11
LFM_PROFILE | norm-1 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.operator_norm-1 | MUL | 9
LFM_PROFILE | model.layers.{}.conv.in_proj-1 | MUL_MAT | 6065
LFM_PROFILE | model.layers.{}.conv.in_proj-1 (view) | MUL | 14
LFM_PROFILE | node_26 (reshaped) | CONCAT | 75
LFM_PROFILE | cache_r_l1 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | model.layers.{}.conv.conv-1 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-1 (view) | MUL | 9
LFM_PROFILE | model.layers.{}.conv.out_proj-1 | MUL_MAT | 2135
LFM_PROFILE | node_43 | ADD | 15
LFM_PROFILE | norm-1 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.ffn_out-1 | MUL | 10
LFM_PROFILE | ffn_gate-1 | MUL_MAT | 8050
LFM_PROFILE | ffn_up-1 | MUL_MAT | 8147
LFM_PROFILE | ffn_swiglu-1 | GLU | 174
LFM_PROFILE | blk.1.ffn_down.weight | MUL_MAT | 13169
LFM_PROFILE | node_61 | ADD | 17
LFM_PROFILE | norm-2 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.operator_norm-2 | MUL | 6
LFM_PROFILE | model.layers.{}.self_attn.q_proj-2 | MUL_MAT | 2766
LFM_PROFILE | norm-2 | RMS_NORM | 4
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-2 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-2 | ROPE | 5
LFM_PROFILE | model.layers.{}.self_attn.v_proj-2 | MUL_MAT | 773
LFM_PROFILE | model.layers.{}.self_attn.k_proj-2 | MUL_MAT | 755
LFM_PROFILE | norm-2 | RMS_NORM | 2
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-2 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-2 | ROPE | 5
LFM_PROFILE | cache_k_l2 (view) | SET_ROWS | 12
LFM_PROFILE | cache_v_l2 (view) | SET_ROWS | 12
LFM_PROFILE |  (copy) | CPY | 7
LFM_PROFILE | __fattn__-2 | FLASH_ATTN_EXT | 278
LFM_PROFILE | cache_r_l3 (reshaped) (view) (view) | SCALE | 10
